name,grape,region,variety,rating,notes
"Château Lafite-Rothschild","Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot","Pauillac, Bordeaux","Blend","First Growth","Among the world's most expensive wines, costing over $1,000 per bottle [1, 2]."
"Château Latour","Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot","Pauillac, Bordeaux","Blend","First Growth","Considered an 'A+' grade wine in the 1855 Bordeaux Classification [2, 3]."
"Château Margaux","Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot","Margaux, Bordeaux","Blend","First Growth","One of the original four wines ranked as the best in Bordeaux by Thomas Jefferson [1, 2]."
"Château Haut-Brion","Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot","Graves, Bordeaux","Blend","First Growth","The only wine outside the Medoc to be included in the 1855 classification due to its fame [2, 3]."
"Château Mouton Rothschild","Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot","Pauillac, Bordeaux","Blend","First Growth","Elevated from Second to First Growth status in 1973 [2, 4]."
"Château d'Yquem","Sémillon, Sauvignon Blanc","Sauternes, Bordeaux","Blend","Premier Cru Supérieur","Described as the best white wine of France and the only Bordeaux wine without peer [2, 5]."
"Barolo","Nebbiolo","Piedmont, Italy","Varietal","DOCG","One of the first wines approved as a DOCG in 1980 [6]."
"Brunello di Montalcino","Sangiovese","Tuscany, Italy","Varietal","DOCG","Requires 100% Sangiovese grapes and was among the first Italian DOCGs [6, 7]."
"Vino Nobile di Montepulciano","Sangiovese","Tuscany, Italy","Blend","DOCG","A historic Italian red wine that was part of the original 1980 DOCG decrees [6]."
"Barbaresco","Nebbiolo","Piedmont, Italy","Varietal","DOCG","A premium red wine from the Cuneo province approved in 1980 [6, 8]."
"Chianti Classico","Sangiovese (min 80%)","Tuscany, Italy","Blend","DOCG","Regulations prohibit white varietals and require a higher Sangiovese content than standard Chianti [7]."
"Château Rauzan-Ségla","Bordeaux Blend","Margaux, Bordeaux","Blend","Second Growth","Part of the 1855 Classification of the Médoc [4]."
"Château Rauzan-Gassies","Bordeaux Blend","Margaux, Bordeaux","Blend","Second Growth","Classified as a Deuxième Cru in 1855 [4]."
"Château Léoville-Las Cases","Bordeaux Blend","Saint-Julien, Bordeaux","Blend","Second Growth","A prominent Saint-Julien wine from the Left Bank [4]."
"Château Léoville-Poyferré","Bordeaux Blend","Saint-Julien, Bordeaux","Blend","Second Growth","Ranked as a Second Growth in the 1855 rankings [4]."
"Château Léoville-Barton","Bordeaux Blend","Saint-Julien, Bordeaux","Blend","Second Growth","One of the three 'Léoville' estates classified in 1855 [4]."
"Château Durfort-Vivens","Bordeaux Blend","Margaux, Bordeaux","Blend","Second Growth","Recognised for its quality in the official Médoc ranking [4]."
"Château Gruaud-Larose","Bordeaux Blend","Saint-Julien, Bordeaux","Blend","Second Growth","A Second Growth estate from the Saint-Julien commune [4]."
"Château Lascombes","Bordeaux Blend","Margaux, Bordeaux","Blend","Second Growth","A major producer in the Margaux appellation [4]."
"Château Brane-Cantenac","Bordeaux Blend","Margaux, Bordeaux","Blend","Second Growth","Included in the 1855 Classification of the Médoc [4]."
"Château Pichon Longueville Baron","Bordeaux Blend","Pauillac, Bordeaux","Blend","Second Growth","Located in the Pauillac commune on the Left Bank [4]."
"Château Pichon Longueville Comtesse de Lalande","Bordeaux Blend","Pauillac, Bordeaux","Blend","Second Growth","Renowned Pauillac estate classified in 1855 [4]."
"Château Ducru-Beaucaillou","Bordeaux Blend","Saint-Julien, Bordeaux","Blend","Second Growth","Classified as a Deuxième Cru in the Médoc [4]."
"Château Cos d'Estournel","Bordeaux Blend","Saint-Estèphe, Bordeaux","Blend","Second Growth","A leading estate from the Saint-Estèphe commune [4]."
"Château Montrose","Bordeaux Blend","Saint-Estèphe, Bordeaux","Blend","Second Growth","Part of the 1855 Classification of the Médoc [4]."
"Château Kirwan","Bordeaux Blend","Margaux, Bordeaux","Blend","Third Growth","Ranked as a Troisième Cru in 1855 [4]."
"Château d'Issan","Bordeaux Blend","Margaux, Bordeaux","Blend","Third Growth","A historic Margaux estate classified as a Third Growth [4]."
"Château Lagrange","Bordeaux Blend","Saint-Julien, Bordeaux","Blend","Third Growth","Part of the 1855 Classification of the Médoc [4]."
"Château Langoa-Barton","Bordeaux Blend","Saint-Julien, Bordeaux","Blend","Third Growth","Ranked as a Third Growth in the Médoc [4]."
"Château Giscours","Bordeaux Blend","Margaux, Bordeaux","Blend","Third Growth","A significant producer in the Margaux appellation [4]."
"Château Malescot St. Exupéry","Bordeaux Blend","Margaux, Bordeaux","Blend","Third Growth","Included in the 1855 Troisièmes Crus [4]."
"Château Boyd-Cantenac","Bordeaux Blend","Margaux, Bordeaux","Blend","Third Growth","Classified as a Third Growth in 1855 [4]."
"Château Cantenac-Brown","Bordeaux Blend","Margaux, Bordeaux","Blend","Third Growth","A Troisième Cru from the Margaux commune [4]."
"Château Palmer","Bordeaux Blend","Margaux, Bordeaux","Blend","Third Growth","A highly regarded Third Growth from Margaux [4]."
